,prompt,completion
10,Como saber a classificaão na hora de cadastrar o colaborador no carregamento mensal?,"Resposta Olá, Fornecedor! Para identificar qual a classificaão correta na hora de cadastrar o colaborador. Segue as informaões sobre cada classificaão
  Empregado É toda pessoa física que prestar servios de natureza não eventual a um empregador, sob dependência e mediante pagamento de salário, constituindo uma relaão de emprego, nos termos do art. 3 da CLT. Se o seu colaborador possui a carteira de trabalho devidamente assinada ele precisa ser cadastrado com a classificaão de empregado.
  EmpregadoAprendiz É o jovem que estuda e trabalha, recebendo também capacitaão específica na área em que está empregado obedecendo a Lei n 100972000 Lei do Aprendiz, o contrato de aprendizagem deve ser registrado na CTPS com direitos trabalhistas e previdenciários garantidos.
  SócioPJ É conhecida por figura jurídica, possui um cadastro próprio perante a Receita Federal. Esse cadastro é o Cadastro Nacional de Pessoa Jurídica, da sigla CNPJ. Assim, é necessário apresentar o Contrato social, Requerimento do empresário ou o CCMEI, para os colaboradores que forem classificados SócioPJ.
  Autônomo Não possui vínculo empregatício com nenhuma empresa. Dessa forma, ele possui total autonomia financeira e profissional, não assumindo o papel de um funcionário efetivo. É necessário a apresentaão do contrato de prestaão de servio Contrato de Autônomo. Conforme Lei n 13.4672017, é contratado como prestador de servios.
  Estagiário É o período no qual os estudantes podem colocar em prática os conhecimentos adquiridos em sala de aula, é uma complementaão do aprendizado, e deve ser apresentado o contrato de estágio conforme a LEI N 11.7882008.
  Estrangeiro São os trabalhadores que vem de fora do país e que pretendem permanecer no país por um determinado tempo ou definitivamente, regido pela Lei n 6.81580 Estatuto do Estrangeiro. Nessa classificaão, deve apresentar o registro nacional do estrangeiro, autorizaão para trabalho emitido pelo MTE e passaporte.
  Temporário Aquele prestado por pessoa física contratada por uma empresa de trabalho temporário que a coloca à disposião de uma empresa tomadora de servios, para atender à necessidade de substituião transitória de pessoal permanente ou à demanda complementar de servios. Baseandose na Lei 13.4292017, o trabalhador temporário precisa conter o contrato de trabalho na CTPS, com o período de início e fim do contrato.

"
11,Como saber a classificaão na hora de mobilizar o colaborador?,"Resposta Para identificar qual a classificaão correta na hora de mobilizar o colaborador segue as informaões sobre cada classificaão
  Empregado É toda pessoa física que prestar servios de natureza não eventual a um empregador, sob dependência e mediante pagamento de salário, constituindo uma relaão de emprego, nos termos do art. 3 da CLT. Se o seu colaborador possui a carteira de trabalho devidamente assinada ele precisa ser cadastrado com a classificaão de empregado.
  EmpregadoAprendiz É o jovem que estuda e trabalha, recebendo também capacitaão específica na área em que está empregado obedecendo a Lei n 100972000 Lei do Aprendiz, o contrato de aprendizagem deve ser registrado na CTPS com direitos trabalhistas e previdenciários garantidos.
  SócioPJ É conhecida por figura jurídica, possui um cadastro próprio perante a Receita Federal. Esse cadastro é o Cadastro Nacional de Pessoa Jurídica, da sigla CNPJ. Assim, é necessário apresentar o Contrato social, Requerimento do empresário ou o CCMEI, para os colaboradores que forem classificados SócioPJ.
  Autônomo Não possui vínculo empregatício com nenhuma empresa. Dessa forma, ele possui total autonomia financeira e profissional, não assumindo o papel de um funcionário efetivo. É necessário a apresentaão do contrato de prestaão de servio Contrato de Autônomo. Conforme Lei n 13.4672017, é contratado como prestador de servios.
  Estagiário É o período no qual os estudantes podem colocar em prática os conhecimentos adquiridos em sala de aula, é uma complementaão do aprendizado, e deve ser apresentado o contrato de estágio conforme a LEI N 11.7882008.
  Estrangeiro São os trabalhadores que vem de fora do país e que pretendem permanecer no país por um determinado tempo ou definitivamente, regido pela Lei n 6.81580 Estatuto do Estrangeiro. Nessa classificaão, deve apresentar o registro nacional do estrangeiro, autorizaão para trabalho emitido pelo MTE e passaporte.
  Temporário Aquele prestado por pessoa física contratada por uma empresa de trabalho temporário que a coloca à disposião de uma empresa tomadora de servios, para atender à necessidade de substituião transitória de pessoal permanente ou à demanda complementar de servios. Baseandose na Lei 13.4292017, o trabalhador temporário precisa conter o contrato de trabalho na CTPS, com o período de início e fim do contrato.
  Cooperado O trabalhador que aderir à Cooperativa e, por estatuto da mesma, adquirir o status de cooperado, não é caracterizado como empregado, conforme CLT, art. 442, assim o colaborador que é membro de uma cooperativa é classificado como Cooperado.
  Intermitente É o funcionário contratado para prestar servios de forma esporádica, remunerandoo com salário e todos os direitos trabalhistas proporcionalmente a esse período e deve constar o contrato na CTPS do colaborador. Promulgado pela Lei n 13.467 de 13 de julho de 2017, o inciso 3 do artigo 443.

"
12,Alterar dados dos Colaboradores na Competência Mensal?,"Resposta Para alterar as informaões dos colaboradores que já estão na competência, siga as orientaões abaixo
 Acesse a competência mensal em questão.
 Na etapa 8, clique em ModificarAdicionar dados dos colaboradores da competência.
 Na etapa 4, para alterar informaões dos colaboradores já cadastrados, basta localizar o colaborador, alterar no campo desejado e clicar em salvar  próximo.
 Assista o tutorial para saber mais httpswww.youtube.comwatch?vfz3yIbjPlbc

"
13,Como atualizar colaboradores na etapa 4?,"Resposta Para atualizar os colaboradores na estapa 4, siga as seguintes instruões
 Na etapa 4, clique na opão Clique aqui.
 Ao baixar a planilha, faa as atualizaões necessárias.
 Salve a planilha e em seguida anexe no portal na opão Escolher arquivo.
 Após validar os dados na tela clique em salvar, em seguida clique em próximo.

"
14,Como anexar uma declaraão de Não Prestaão de Servio?,"Resposta Para anexar a declaraão, siga o passo a passo abaixo
1. Na etapa 1  Confirmar Prestaão de Servio, cliquei em Não.
2. Baixe o modelo de declaraão clicando na opão de Clique Aqui.
3. Preencha o modelo A declaraão deve ser assinada pelo responsável legal da empresa e deve ser salva em PDF..
4. Para anexar, clique em Carregar Arquivo e selecione a documentaão.
5. Clique em Próximo.
6. Após incluir a declaraão e clicar em próximo, o sistema irá para te direcionar para a etapa 05 onde será preciso clicar na opão Finalizar.
 Após concluir o processo de impute da declaraão, seguiremos o seguinte fluxo para validaão
1. A declaraão será analisada pela Bernhoeft de acordo com prazo de análise estabelecido pelo cliente
2. Estando a declaraão conforme, o documento será encaminhado para que o cliente possa validar se houve ou não a prestaão de servios na competência
3. Após a validaão do cliente, a informaão de NPS Não Prestaão de Servio na competência será lanada no sistema e a solicitaão de documentos ajustada.
4. Assista o tutorial para saber mais httpswww.youtube.comwatch?v08tVDMoGJ9M
 Importante O lanamento da Não prestaão de servios no portal após o envio do relatório de pendências dependerá do tempo de resposta do cliente.

"
15,Como adicionar colaboradores em uma competência que já foi atualizada?,"Resposta Para adicionar colaboradores em uma competência que já foi atualizada, siga as orientaões abaixo
1. Acesse a competência que deseja adicionar o colaborador
2. Ao chegar na etapa 8, clique em ModificarAdicionar dados dos colaboradores da competência
3. Na etapa 4, clique em Adicionar Colaboradores
4. Na etapa 2, você deverá fazer a inclusão dos colaboradores, manualmente ou por planilha. Após a inclusão deve clicar em próximo, até chegar a etapa 7 para anexar os documentos.
5. Na etapa 8 deverá finalizar todo o procedimento.
6. Assista o tutorial para saber mais httpswww.youtube.comwatch?v26oDgzhzsk

"
16,Como retificar a planilha?,"Resposta Se você copiou e colou as informaões de outra planilha, alterou a fonte tamanho ou estilo, digitou informaões na célula onde possui um campo suspenso ou pulou linhas entre os colaboradores, você precisa retificar a planilha seguindo as seguintes orientaões
1. Copie os dados da planilha preenchida e cole no bloco de notas.
2. Baixe uma nova planilha.
3. Copie os dados do bloco de notas e cole na nova planilha.
4. Salve a planilha sem alterar o formato do arquivoxls e faa o upload na competência.

"
17,O que eu preciso saber sobre a saída de um colaborador?,"Resposta A saída de colaboradores deve ser informada na competência do afastamento para que o sistema não faa a cobrana dos documentos mensalmente. O procedimento ocorre na etapa 3, conforme as orientaões abaixo
 Acesse a competência que o colaborador foi desligado, afastado ou não prestou servio.
 Depois de passar pelas etapas iniciais 1 e 2, siga para a etapa 3.
 Ao acessar a etapa 3, você pode informar a saída de colaboradores de duas formas
 Manualmente
 Na etapa 3, clique no botão com o ícone.
 Preencha os campos e clique em.
 Clique em para seguir com a atualizaão da competência.
 Planilha
 Na etapa 3, baixe o modelo padrão.
 Preencha as campos Data de Saída e Motivo de Saída.
 Clique no ícone para adicionar a planilha.
 Verifique os dados na tela e clique em.
 Clique em para seguir com a atualizaão da competência.

"
18,Como preencher a planilha de inclusão de colaboradores corretamente  MONITORAMENTO MENSAL?,"Resposta Para que a planilha seja anexada, você precisa utilizar o modelo padrão disponível para download no sistema. Para o preenchimento correto da planilha, você precisa se atentar as orientaões abaixo

 Observaões Gerais
 Ao abrir a planilha, clique em Habilitar Edião no canto superior direito, para que as células fiquem habilitadas para o preenchimento.
 Não é permitido copiar e colar os dados de outra planilha ou de outro local.
 Não alterar a fonte tamanho ou estilo.
 Os dados dos colaboradores devem estar um abaixo do outro não pode pular linhas.
 As células que possuem campo suspenso, devem ser selecionadas e nunca digitadas.
 Salve a planilha sem alterar o formato do arquivo.
 Preenchimento dos Campos
Matricula Siga o exemplo descrito na planilha. Caso os seus colaboradores não tenham o número de matrícula, crie um número fictício desde que seja único, ou seja, que não se repita para outro colaborador, ex. 001, 002. 003 e etc.
CPF e o PIS Verificar se possuem pontuaão e são validos. Você pode validar o CPF e PIS acessando o link  httpswww.4devs.com.brvalidadorcpf
RG Digite o RG. O Campo é obrigatório
Passaporte Deixar em branco se o colaborador for brasileiro
Data de Nascimento O Campo é obrigatório
Sexo MasculinoFeminino. O campo é obrigatório.
Salário Informe o salário do colaborador.
Refeião Custeada Escolha SIM ou NÃO. O campo é obrigatório.
Tipo de Prestador Escolha a opão FIXO ou ESPORÁDICO. O campo é obrigatório.
Funão Informe a funão que ele exerce na empresa
Data de admissão Data que consta na CTPS
Data início de servio Informe a data de início da prestaão de servio.
Data de término Para a classificaão Temporário, informe a data de término do contrato.
Classificaão Verificar a que se enquadra ao colaborador de acordo com as opões que constam na planilha.
Motivo da entrada Verificar a que se enquadra de acordo com as opões que constam na planilha.
Local de servio Escolher a opão que consta na planilha, caso não aparea a unidade que vai executar o trabalho, pode selecionar qualquer uma e incluir a correta no campo de observaão.
Exposião de Risco Selecionar a opão que corresponde de acordo com a planilha NãoPericulosidadeInsalubridade.
Observaão Campo destinado a observaões gerais. Não é obrigatório preencher.
Estrangeiro Selecionar SIM ou NÃO. O campo é obrigatório.
Email do Gestor Imediato Informe o email do gestor. O campo não é obrigatório.
 Atenão Em caso de dúvidas, assista o tutorial httpswww.youtube.comwatch?vwHyuEV1hTA

"
19,Alterar dados dos Colaboradores na MOBILIZAÃO?,"Resposta Alterar dados dos Colaboradores na MOBILIZAÃO Crítica de Funcionário
 Você sabe o que quer dizer esse termo e como alteraratualizar as informaões cadastrais do colaborador no sistema New Contract?
 Se não sabe, vamos te ensinar agora.
 Em algumas situaões é necessário atualizaralterar as informaões fornecidas no momento do cadastro daquele colaborador e a essa aão nós atribuímos o nome de crítica de funcionário. A crítica funciona em duas etapas, a primeira realizada pela equipe da Bernhoeft, para isso você, fornecedor, precisa entrar em contato conosco para efetuarmos a habilitaão. A segunda etapa é com você, que precisa confirmar no sistema que realizamos a alteraão, conforme solicitado.
 Vamos ao passoapasso
 Na primeira etapa, você deverá entrar em contato com a nossa equipe de atendimento através do número 11 41186665 ou através do Chat, clicando no ícone da interrogaão no canto inferior direito da tela do portal.
Informe os dados que precisam ser alterados. Exemplo de alteraões nome, CPF, PIS, funão, classificaão, local de servio, etc.
Segunda etapa Acesse a mobilizaão, clicando em carregamento de documentos  carregar mobilizaão  digite o contrato e filtre a data da competência. Ao fazer isso verá que o ícone de acessar carregamento estará vermelho, isso significa que a etapa de atualizaão está liberada.
 Clicando em Acessar carregamento, você será direcionado para a etapa 4 e poderá atualizar o item solicitado, que estará tracejado em laranja, assim como no exemplo
 Realizando a confirmaão da alteraão a escrita precisa ser a mesma que será exibida no balão Valor encontrado incluindo letras maiúsculas e minúsculas, conforme mostramos
 Após alterar, clique no botão Próximo e pronto, sua alteraão foi realizada.
 Para conferir se de fato ocorreu a alteraão, verifique em utilitários  consultar colaboradores em mobilizaão e digite os dados necessários.
 Ah! Não esquea de usar os filtros disponíveis.
 Ressaltamos que não é possível alterar no sistema o item Matrícula, entretanto para mobilizaão esse item não gera contratempos em sua análise.
 Se a alteraão for na funão do colaborador, os documentos atualizados devem ser inseridos antes, já constando a nova funão do colaborador. São eles ASO quando houver mudana de funão com mudana de riscos, Ordem de servio e Ficha de EPI caso os EPIs mudem da funão antiga para a nova. Se forem necessários novos treinamentos nas NRs em decorrência dessa mudana de funão, os certificados de treinamento também devem ser apresentados

"
20,Como incluir colaboradores na etapa 2 Segunda etapa?,"Resposta A inclusão de colaboradores ocorre na etapa 2. Assista o tutorial para aprender a como realizar esse procedimento httpswww.youtube.comwatch?vV65ASXUoKS0

"
21,Como informar a saídatransferência de um colaborador mesmo após a atualizaão da competência?,"Resposta Para informar a saída do colaborador Demissão, realocaão em outro projetotomador, e outros na competência atualizada, siga as orientaões abaixo
1 Acesse a competência em questão e clique na etapa 8, em seguida clique em ModificarAdicionar dados dos colaboradores da competência
2 você será direcionado para etapa 4, clique em saída de colaboradores para ser direcionado a etapa 3, ou clique diretamente já na etapa 3 Informar trabalhadores desligadostransferidos
3 Ao acessar a etapa 3, clique em SIM para confirmar que houve a saída de colaboradores na competência.
 Você terá duas formas para informar a saída do colaborador na competência
 Planilha de saída
1. Ao confirmar a saída do colaborador na etapa 3, baixe a planilha de saída clicando na opão CLIQUE AQUI
2. Acesse a planilha e informe a data de saída e motivo de saída apenas dos colaboradores que saíram na competência
3. Salve a planilha e em seguida anexe no portal na opão Escolher arquivo
4. Após validar os dados na tela clique em salvar, em seguida clique em próximo.
Retirando o colaborador manualmente
1. Ao confirmar a saída do colaborador na etapa 3, clique na opão do , que ficará disponível ao lado direito da tela
2. Inicie o preenchimento dos dados do colaborador incluindo data e motivo de saída  lembrando que a matrícula precisa está igual a cadastrada no sistema, podendo ser consultada na etapa 4 e a data precisa constar suas devidas barras no formato DDMMAAAA
3. Após validar os dados na tela e ter informado todos os colaboradores demitidostransferidos clique em salvar, em seguida clique em próximo.
4 Assista o tutorial para saber mais httpswww.youtube.comwatch?viH84oXUyRMo

"
22,Como preencher a planilha de inclusão de colaboradores corretamente  MOBILIZAÃO?,"Resposta Para que a planilha seja anexada, você precisa utilizar o modelo padrão disponível para download no sistema. Para o preenchimento correto da planilha, você precisa se atentar as orientaões abaixo 
Observaões Gerais
1 Ao abrir a planilha, clique em Habilitar Edião no canto superior direito, para que as células fiquem habilitadas para o preenchimento
2 Não é permitido copiar e colar os dados de outra planilha ou de outro local
3 Não alterar a fonte tamanho ou estilo
4 Os dados dos colaboradores devem estar um abaixo do outro não pode pular linhas
5 As células que possuem campo suspenso, devem ser selecionadas e nunca digitadas
6 Salve a planilha sem alterar o formato do arquivo.
Preenchimento dos Campos
Matricula Siga o exemplo descrito na planilha. Caso os seus colaboradores não tenham o número de matrícula, crie um número fictício desde que seja único, ou seja, que não se repita para outro colaborador, ex. 001, 002. 003 e etc.
CPF  Verificar se possuem pontuaão e são validos. Você pode validar o CPF acessando o link  httpswww.4devs.com.brvalidadorcpf
PIS Este campo não é obrigatório para a classificaão sócio, estrangeiro e autônomo, mas caso seja solicitado pelo portal é possível gerar uma numeraão de PIS para o preenchimento no link httpswww.4devs.com.brgeradordepispasep
Para as demais classificaões, verificar se possuem pontuaão e são validos. Você pode validar o PIS acessando o link  httpswww.4devs.com.brvalidadorpispasep
RG Digite o RG. O Campo é obrigatório
Passaporte Deixar em branco se o colaborador for brasileiro
Data de Nascimento O Campo é obrigatório
Sexo MasculinoFeminino. O campo é obrigatório.
Salário Informe o salário do colaborador, caso não tenha, informe um valor fictício.
Refeião Custeada Escolha SIM ou NÃO. O campo é obrigatório.
Tipo de Prestador Escolha a opão FIXO ou ESPORÁDICO. O campo é obrigatório.
Funão Informe a funão que ele exerce na empresa
Data de admissão Data que consta na CTPS
Data início de servio Precisar ser futura No máximo 15 dias a frente
Data de termino Não é obrigatório preencher
Classificaão Verificar a que se enquadra ao colaborador de acordo com as opões que constam na planilha.
Motivo da entrada Verificar a que se enquadra de acordo com as opões que constam na planilha.
Local de servio Escolher a opão que consta na planilha, caso não aparea a unidade que vai executar o trabalho, pode selecionar qualquer uma e incluir a correta no campo de observaão.
Exposião de Risco Selecionar a opão que corresponde de acordo com a planilha NãoPericulosidadeInsalubridade.
Observaão Campo destinado a observaões gerais. Esse item é obrigatório para o projeto Raízen, e nele deve ser informado o endereo completo do colaborador rua, avenida, n, apartamento, bairro, cidade e estado. Para os demais projetos, não é obrigatório.
Estrangeiro Selecionar SIM ou NÃO. O campo é obrigatório.
Email do Funcionário Informe o email do colaborador que está sendo mobilizado. Esse item é obrigatório apenas para os projetos Guardian, John Deere
Siemens Energy,  Industry e Lager Drives.
ATENÃO A partir do dia 24012023, para as novas mobilizaões dos clientes Siemens Energy,  Industry e LD o campo  email do funcionário deve estar preenchido com o email do responsável Siemens pelos os que estão sendo mobilizados.

"
23,Como inativar um colaborador na mobilizaão?,"Resposta Caso o colaborador tenha sido desligado ou realocado, poderá retirálo da mobilizaão para que não haja cobrana de documentos. Para isso, siga as orientaões abaixo
1 Na aba de Menu, clique em Carregamento de Documentos e depois Carregar Mobilizaão.
2 Digite o n do contrato no campo de busca e clique em pesquisar. Em seguida o sistema irá exibir todas as mobilizaões do contrato.
3 Na mobilizaão que o colaborador está, clique no segundo botão do lado direito Colaboradores.
4 No colaborador que deseja inativar, clique em Editar, abaixo de Aão.
5 Clique no ícone  X  para inativalo.
6 Assista o tutorial para saber mais httpswww.youtube.comwatch?voEcRQwGjJIg

"
24,Como excluir os documentos anexados no carregamento Mensal?,"Resposta Para excluir os documentos que já foram anexados, siga o passo a passo destacado abaixo. Para uma melhor visualizaão das imagens, basta clicar sobre elas.
 Atenão Esta aão só é possível quando o documento ainda não foi analisado e se a competência não tiver sido lanada como concluído. Após a análise, o documento passa a integrar o banco de dados, não sendo possível a sua exclusão. Para correão do mesmo, basta inserir um novo documento e aguardar uma nova avaliaão.
1 Acesse a aba Carregamento de Documentos  Mensal, em seguida selecione a competência na qual deseja excluir o documento e clique em Acessar carregamento.
2 Ao acessar a competência, nas etapas 06 ou 07 desmarque a opão Mostrar apenas pendentes
3 Para visualizar os documentos clique no título do documento, logo abaixo ficara disponível os documentos já anexados
4 Para excluir o documento clique no ícone da lixeira
Se desejar anexar outro documento, clique no ícone Carregar arquivo simbolizado por.


"
25,Como reparar o PDF corrompido?,"Resposta Quando o PDF está totalmente ou parcialmente corrompido, não conseguimos anexar no portal, pois informa o seguinte erro ao tentar anexar ou salvar documento
 Seguindo o passo a passo abaixo, é possível reparar o documento e anexar no portal
 Localize o documento no seu computador, clique com o botão direito do mouse e escolha a opão abrir com
 Selecione Word
 Depois que abrir o Word, clique em Arquivo
 Depois clique em Exportar
 Escolha a opão Criar PDFXPS
 Depois é só salvar o novo PDF e inserir no portal.
 Importante Quando for salvar o novo documento, salve com um nome diferente pode ser apenas 1 caractere a mais.


"
